time,open,high,low,close,volume
1772193600000,65.35,65.78,62.3,63.41,2727.07
1772208000000,63.41,63.57,61.27,62.81,1571.35
1772222400000,62.81,64.41,62.74,63.71,388.59
1772236800000,63.71,63.71,63.71,63.71,0.0
1772251200000,63.71,63.71,63.71,63.71,0.0
1772265600000,63.71,63.71,63.71,63.71,0.0
1772280000000,63.71,63.71,63.71,63.71,0.0
1772294400000,63.71,63.71,63.71,63.71,0.0
1772308800000,63.71,63.71,63.71,63.71,0.0
1772323200000,63.71,63.71,63.71,63.71,0.0
1772337600000,63.71,63.71,63.71,63.71,0.0
1772352000000,63.71,63.71,63.71,63.71,0.0
1772366400000,63.71,63.71,63.71,63.71,0.0
1772380800000,63.71,63.71,63.71,63.71,0.0
1772395200000,63.71,63.71,63.71,63.71,0.0
1772409600000,63.71,63.71,63.71,63.71,0.0
1772424000000,63.71,63.71,63.71,63.71,0.0
1772438400000,63.71,63.71,63.71,63.71,0.0
1772452800000,63.71,63.71,59.77,62.96,1145.09
1772467200000,62.96,64.95,62.43,64.39,1223.74
1772481600000,64.39,64.57,63.75,64.46,506.21
1772496000000,64.46,64.46,64.46,64.46,0.0
1772510400000,64.46,64.46,64.46,64.46,0.0
1772524800000,64.46,64.46,64.46,64.46,0.0
1772539200000,64.46,64.46,61.39,62.28,1230.11
1772553600000,62.28,64.77,62.22,63.81,1284.12
1772568000000,63.81,63.85,62.82,62.94,221.18
1772582400000,62.94,62.94,62.94,62.94,0.0
1772596800000,62.94,62.94,62.94,62.94,0.0
1772611200000,62.94,62.94,62.94,62.94,0.0
1772625600000,62.94,65.32,62.85,65.1,768.36
1772640000000,65.1,65.69,64.71,65.25,807.6
1772654400000,65.25,65.55,65.05,65.25,167.74
1772668800000,65.25,65.25,65.25,65.25,0.0
1772683200000,65.25,65.25,65.25,65.25,0.0
1772697600000,65.25,65.25,65.25,65.25,0.0
1772712000000,65.25,67.41,64.93,66.13,755.69
1772726400000,66.13,67.24,65.43,67.18,1007.47
1772740800000,67.18,67.46,66.74,67.27,232.84
1772755200000,67.27,67.27,67.27,67.27,0.0
1772769600000,67.27,67.27,67.27,67.27,0.0
1772784000000,67.27,67.27,67.27,67.27,0.0
1772798400000,67.27,67.48,65.21,66.47,681.54
1772812800000,66.47,67.0,65.75,66.55,916.17
1772827200000,66.55,66.7,66.17,66.39,267.27
1772841600000,66.39,66.39,66.39,66.39,0.0
1772856000000,66.39,66.39,66.39,66.39,0.0
1772870400000,66.39,66.39,66.39,66.39,0.0
1772884800000,66.39,66.39,66.39,66.39,0.0
1772899200000,66.39,66.39,66.39,66.39,0.0
1772913600000,66.39,66.39,66.39,66.39,0.0
1772928000000,66.39,66.39,66.39,66.39,0.0
1772942400000,66.39,66.39,66.39,66.39,0.0
1772956800000,66.39,66.39,66.39,66.39,0.0
1772971200000,66.39,66.39,66.39,66.39,0.0
1772985600000,66.39,66.39,66.39,66.39,0.0
1773000000000,66.39,66.39,66.39,66.39,0.0
1773014400000,66.39,66.39,66.39,66.39,0.0
1773028800000,66.39,66.39,66.39,66.39,0.0
1773043200000,66.39,66.39,66.39,66.39,0.0
1773057600000,66.39,66.39,63.32,64.51,986.77
1773072000000,64.51,66.09,64.3,65.61,899.44
1773086400000,65.61,65.61,65.58,65.58,2.67
1773100800000,65.58,65.58,65.58,65.58,0.0
1773115200000,65.58,65.58,65.58,65.58,0.0
1773129600000,65.58,65.58,65.58,65.58,0.0
1773144000000,65.58,66.65,64.89,66.46,988.2
1773158400000,66.46,66.77,65.53,65.6,909.86
1773172800000,65.6,65.6,65.6,65.6,0.0
1773187200000,65.6,65.6,65.6,65.6,0.0
1773201600000,65.6,65.6,65.6,65.6,0.0
1773216000000,65.6,65.6,65.6,65.6,0.0
1773230400000,65.6,67.25,63.92,64.24,1126.39
1773244800000,64.24,64.94,63.44,64.62,1166.22
1773259200000,64.62,64.62,64.62,64.62,0.0
1773273600000,64.62,64.62,64.62,64.62,0.0
1773288000000,64.62,64.62,64.62,64.62,0.0
1773302400000,64.62,64.62,64.62,64.62,0.0
1773316800000,64.62,64.96,61.28,61.41,1201.69
1773331200000,61.41,61.45,59.75,59.88,1279.79
1773345600000,59.88,59.88,59.88,59.88,0.0
1773360000000,59.88,59.88,59.88,59.88,0.0
1773374400000,59.88,59.88,59.88,59.88,0.0
1773388800000,59.88,59.88,59.88,59.88,0.0
1773403200000,59.88,61.39,59.82,59.86,914.81
1773417600000,59.86,60.28,59.68,59.79,972.71
1773432000000,59.79,59.79,59.79,59.79,0.0
1773446400000,59.79,59.79,59.79,59.79,0.0
1773460800000,59.79,59.79,59.79,59.79,0.0
1773475200000,59.79,59.79,59.79,59.79,0.0
1773489600000,59.79,59.79,59.79,59.79,0.0
1773504000000,59.79,59.79,59.79,59.79,0.0
1773518400000,59.79,59.79,59.79,59.79,0.0
1773532800000,59.79,59.79,59.79,59.79,0.0
1773547200000,59.79,59.79,59.79,59.79,0.0
1773561600000,59.79,59.79,59.79,59.79,0.0
1773576000000,59.79,59.79,59.79,59.79,0.0
1773590400000,59.79,59.79,59.79,59.79,0.0
1773604800000,59.79,59.79,59.79,59.79,0.0
1773619200000,59.79,59.79,59.79,59.79,0.0
1773633600000,59.79,59.79,59.79,59.79,0.0
1773648000000,59.79,59.79,59.79,59.79,0.0
1773662400000,59.79,60.76,59.53,59.57,1109.82
1773676800000,59.57,60.47,59.35,59.82,729.06
1773691200000,59.82,59.82,59.82,59.82,0.0
1773705600000,59.82,59.82,59.82,59.82,0.0
1773720000000,59.82,59.82,59.82,59.82,0.0
1773734400000,59.82,59.82,59.82,59.82,0.0
1773748800000,59.82,61.16,59.82,60.3,735.03
1773763200000,60.3,60.87,59.74,59.76,823.22
1773777600000,59.76,59.8,59.76,59.8,0.62
1773792000000,59.8,59.8,59.8,59.8,0.0
1773806400000,59.8,59.8,59.8,59.8,0.0
1773820800000,59.8,59.8,59.8,59.8,0.0
1773835200000,59.8,61.53,59.49,59.56,1042.44
1773849600000,59.56,59.56,57.2,57.85,1753.65
1773864000000,57.85,57.85,57.85,57.85,0.0
1773878400000,57.85,57.85,57.85,57.85,0.0
1773892800000,57.85,57.85,57.85,57.85,0.0
1773907200000,57.85,57.85,57.85,57.85,0.0
1773921600000,57.85,58.64,57.2,57.45,1196.58
1773936000000,57.45,59.35,57.27,58.95,1402.33
1773950400000,58.95,58.95,58.95,58.95,0.0
1773964800000,58.95,58.95,58.95,58.95,0.0
1773979200000,58.95,58.95,58.95,58.95,0.0
1773993600000,58.95,58.95,58.95,58.95,0.0
1774008000000,58.95,60.02,58.23,60.02,1282.74
1774022400000,60.02,60.42,58.44,59.25,1037.35
1774036800000,59.25,59.25,59.25,59.25,0.0
1774051200000,59.25,59.25,59.25,59.25,0.0
1774065600000,59.25,59.25,59.25,59.25,0.0
1774080000000,59.25,59.25,59.25,59.25,0.0
1774094400000,59.25,59.25,59.25,59.25,0.0
1774108800000,59.25,59.25,59.25,59.25,0.0
1774123200000,59.25,59.25,59.25,59.25,0.0
1774137600000,59.25,59.25,59.25,59.25,0.0
1774152000000,59.25,59.25,59.25,59.25,0.0
1774166400000,59.25,59.25,59.25,59.25,0.0
1774180800000,59.25,59.25,59.25,59.25,0.0
1774195200000,59.25,59.25,59.25,59.25,0.0
1774209600000,59.25,59.25,59.25,59.25,0.0
1774224000000,59.25,59.25,59.25,59.25,0.0
1774238400000,59.25,59.25,59.25,59.25,0.0
1774252800000,59.25,59.25,59.25,59.25,0.0
1774267200000,59.25,62.18,59.25,60.59,1270.64
1774281600000,60.59,61.73,60.44,61.15,1000.69
1774296000000,61.15,61.15,61.09,61.09,1.26
1774310400000,61.09,61.09,61.09,61.09,0.0
1774324800000,61.09,61.09,61.09,61.09,0.0
1774339200000,61.09,61.09,61.09,61.09,0.0
1774353600000,61.09,61.09,58.9,59.68,996.86
1774368000000,59.68,60.26,59.23,59.88,1136.23
1774382400000,59.88,59.88,59.88,59.88,0.0
1774396800000,59.88,59.88,59.88,59.88,0.0
1774411200000,59.88,59.88,59.88,59.88,0.0
1774425600000,59.88,59.88,59.88,59.88,0.0
1774440000000,59.88,62.04,59.34,59.95,1113.59
1774454400000,59.95,60.75,59.64,59.93,795.24
1774468800000,59.93,59.93,59.93,59.93,0.0
1774483200000,59.93,59.93,59.93,59.93,0.0
1774497600000,59.93,59.93,59.93,59.93,0.0
1774512000000,59.93,59.93,59.93,59.93,0.0
1774526400000,59.93,61.4,59.57,59.71,830.37
1774540800000,59.71,59.84,59.13,59.3,793.27
1774555200000,59.3,59.36,59.3,59.36,1.82
1774569600000,59.36,59.36,59.36,59.36,0.0
1774584000000,59.36,59.36,59.36,59.36,0.0
1774598400000,59.36,59.36,59.36,59.36,0.0
1774612800000,59.36,59.36,56.4,57.12,905.54
1774627200000,57.12,57.27,55.88,56.01,889.28
1774641600000,56.01,56.01,55.87,55.87,8.47
1774656000000,55.87,55.87,55.87,55.87,0.0
1774670400000,55.87,55.87,55.87,55.87,0.0
1774684800000,55.87,55.87,55.87,55.87,0.0
